,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,GBA,GBD,GBH,IWA,IWD,IWH,LBA,LBD,LBH,PSA,PSD,PSH,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH,matchID,Season,HomeTeamDay,AwayTeamDay,ones,HomeTeamHomeDay,AwayTeamAwayDay,HW,AW,D,HR,AR,ordinalHR,1_last_HTR,2_last_HTR,3_last_HTR,1_last_ATR,2_last_ATR,3_last_ATR,1_last_HTHR,2_last_HTHR,1_last_ATAR,2_last_ATAR,HTW_rate,ATW_rate,HTD_rate,ATD_rate,7_HTW_rate,12_HTW_rate,7_ATW_rate,12_ATW_rate,7_HTD_rate,12_HTD_rate,7_ATD_rate,12_ATD_rate,5_HTHW_rate,5_ATAW_rate,HTHW_rate,HTHD_rate,ATAW_rate,ATAD_rate,7_HTL_rate,12_HTL_rate,7_ATL_rate,12_ATL_rate,HTL_rate,ATL_rate,HTHL_rate,ATAL_rate
0,2008-08-16,Arsenal,West Brom,1,0,H,0,15.0,6.5,1.2,13.0,5.0,1.22,10.0,5.5,1.22,13.0,5.5,1.22,11.0,5.2,1.2,11.0,5.0,1.2,,,,12.0,5.5,1.2,12.0,5.5,1.2,13.0,6.0,1.25,12.0,5.5,1.17,0,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008-08-16,Bolton,Stoke,3,1,H,0,4.5,3.5,1.83,4.33,3.25,1.8,4.4,3.3,1.75,4.5,3.25,1.83,4.2,3.3,1.75,4.0,3.4,1.73,,,,4.2,3.25,1.8,4.33,3.2,1.8,4.8,3.4,1.85,4.0,3.1,1.8,1,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008-08-16,Everton,Blackburn,2,3,A,1,4.0,3.3,2.0,3.5,3.25,2.0,4.0,3.25,1.85,3.75,3.25,2.0,3.3,3.2,2.0,4.0,3.2,1.8,,,,3.75,3.25,1.9,3.4,3.25,2.0,4.0,3.3,2.05,3.5,3.1,1.95,2,2008,1,1,1,1.0,1.0,0,1,0,L,W,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2008-08-16,Hull,Fulham,2,1,H,1,2.8,3.2,2.6,2.5,3.25,2.6,2.65,3.15,2.45,2.6,3.25,2.6,2.6,3.2,2.4,2.5,3.25,2.4,,,,2.6,3.2,2.5,2.75,3.2,2.38,2.8,3.4,2.6,2.62,2.9,2.5,3,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2008-08-16,Middlesbrough,Tottenham,2,1,H,0,2.25,3.4,3.2,2.3,3.25,2.8,2.3,3.2,2.8,2.3,3.25,3.0,2.2,3.2,2.9,2.2,3.2,2.8,,,,2.3,3.2,2.8,2.2,3.4,2.88,2.3,3.4,3.2,2.15,3.2,2.9,4,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2008-08-16,Sunderland,Liverpool,0,1,A,0,1.67,3.6,5.5,1.73,3.4,4.5,1.67,3.35,5.0,1.7,3.4,5.0,1.65,3.5,4.5,1.67,3.3,4.5,,,,1.65,3.4,5.0,1.73,3.4,4.33,1.65,3.8,5.5,1.57,3.3,5.5,5,2008,1,1,1,1.0,1.0,0,1,0,L,W,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2008-08-16,West Ham,Wigan,2,1,H,0,4.2,3.4,1.91,3.8,3.25,1.91,3.8,3.2,1.9,4.0,3.25,1.91,3.8,3.3,1.8,4.0,3.2,1.8,,,,3.75,3.25,1.9,3.75,3.25,1.91,4.35,3.5,1.9,3.75,3.2,1.83,6,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2008-08-17,Chelsea,Portsmouth,4,0,H,0,10.0,5.0,1.33,10.0,4.2,1.33,8.25,4.75,1.3,9.0,4.75,1.33,8.5,4.4,1.3,9.0,4.33,1.29,,,,9.0,4.5,1.3,10.0,5.0,1.25,11.0,5.0,1.33,8.5,4.2,1.3,7,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008-08-17,Aston Villa,Man City,4,2,H,0,4.33,3.4,1.91,3.75,3.3,1.91,3.6,3.2,1.95,4.0,3.25,1.91,3.3,3.2,2.0,3.75,3.2,1.83,,,,3.75,3.25,1.9,3.75,3.25,1.91,4.35,3.5,1.9,3.5,3.2,1.91,8,2008,1,1,1,1.0,1.0,1,0,0,W,L,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2008-08-17,Man United,Newcastle,1,1,D,1,11.0,5.5,1.29,11.0,4.5,1.29,8.25,4.75,1.3,10.0,4.75,1.3,8.5,4.4,1.3,10.0,4.5,1.25,,,,10.0,5.0,1.25,10.0,5.0,1.25,12.0,5.5,1.28,10.0,4.5,1.25,9,2008,1,1,1,1.0,1.0,0,0,1,D,D,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
